Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.05     0.05   400000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
 20.00      0.08     0.03   400000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
 13.33      0.10     0.02  1466576     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  6.67      0.11     0.01   824928     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  6.67      0.12     0.01   450000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  6.67      0.13     0.01   341656     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  6.67      0.14     0.01   341656     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  6.67      0.15     0.01   270822     0.00     0.00  std::deque<int, std::allocator<int> >::deque()
  0.00      0.15     0.00  2055705     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.15     0.00  1200000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.15     0.00   801008     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.15     0.00   687117     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.15     0.00   686109     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.15     0.00   684320     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.15     0.00   683312     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.15     0.00   683312     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.15     0.00   683312     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.15     0.00   683312     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.15     0.00   683312     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.15     0.00   670823     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.15     0.00   670822     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.15     0.00   670821     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.15     0.00   612466     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.15     0.00   612466     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.15     0.00   570821     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.15     0.00   500000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.15     0.00   470821     0.00     0.00  std::deque<int, std::allocator<int> >* std::__addressof<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >&)
  0.00      0.15     0.00   412464     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.15     0.00   412464     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.15     0.00   400000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.15     0.00   343661     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.15     0.00   342652     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.15     0.00   342652     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
