Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.01     0.01  1200000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
 33.33      0.02     0.01   472742     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
 33.33      0.03     0.01   100000     0.00     0.00  KosarajuList()::{lambda(int)#1}::operator()(int) const
  0.00      0.03     0.00  1600000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.03     0.00  1300000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.03     0.00  1300000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.03     0.00  1300000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.03     0.00   941674     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.03     0.00   864048     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&)
  0.00      0.03     0.00   801906     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.03     0.00   800000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.03     0.00   670837     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.03     0.00   670836     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.03     0.00   570835     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.03     0.00   534883     0.00     0.00  std::__detail::_List_node_header::_M_base()
  0.00      0.03     0.00   500000     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.03     0.00   474665     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >&& std::forward<std::__cxx11::list<int, std::allocator<int> > >(std::remove_reference<std::__cxx11::list<int, std::allocator<int> > >::type&)
  0.00      0.03     0.00   472742     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.03     0.00   472742     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.03     0.00   472742     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.03     0.00   472742     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.03     0.00   472742     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      0.03     0.00   450000     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.03     0.00   401907     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.03     0.00   400000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.03     0.00   400000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.03     0.00   400000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
