Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.01     0.01   300000     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
 25.00      0.02     0.01   202033     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
 25.00      0.03     0.01   200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
 25.00      0.04     0.01   100000     0.00     0.00  KosarajuMix()::{lambda(int, int)#2}::operator()(int, int) const
  0.00      0.04     0.00  1270995     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.04     0.00  1200000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.04     0.00   925910     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.04     0.00   702033     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.04     0.00   600000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.04     0.00   600000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.04     0.00   600000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.04     0.00   600000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.04     0.00   475046     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.04     0.00   464175     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.04     0.00   425970     0.00     0.00  int* std::__niter_base<int*>(int*)
