Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 40.00      0.04     0.04   400000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
 10.00      0.05     0.01   400000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
 10.00      0.06     0.01   237617     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
 10.00      0.07     0.01   131071     0.00     0.00  void std::__relocate_object_a<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
 10.00      0.08     0.01   100000     0.00     0.00  KosarajuVector()::{lambda(int)#1}::operator()(int) const
  5.00      0.09     0.01  2392050     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  5.00      0.09     0.01  1016816     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  5.00      0.10     0.01   475271     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  5.00      0.10     0.01   200000     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.10     0.00  1425696     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.10     0.00  1200000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.10     0.00  1037616     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.10     0.00   950464     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.10     0.00   947886     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.10     0.00   864003     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.10     0.00   801861     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.10     0.00   712850     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.10     0.00   710269     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.10     0.00   670791     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.10     0.00   570790     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.10     0.00   508408     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.10     0.00   508408     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.10     0.00   500000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.10     0.00   475233     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.10     0.00   475233     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.10     0.00   475233     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.10     0.00   475232     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.10     0.00   475232     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.10     0.00   475232     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.10     0.00   475232     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.10     0.00   475232     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.10     0.00   475232     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.10     0.00   474530     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.10     0.00   472655     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.10     0.00   472655     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.10     0.00   472653     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.10     0.00   472653     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.10     0.00   472653     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.10     0.00   472653     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.10     0.00   472653     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.10     0.00   472653     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.10     0.00   450000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.10     0.00   403722     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.10     0.00   400000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.10     0.00   300005     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.10     0.00   300001     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.10     0.00   300001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.10     0.00   300001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.10     0.00   300001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.10     0.00   300000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.10     0.00   300000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.10     0.00   300000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.10     0.00   300000     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.10     0.00   300000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.10     0.00   300000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.10     0.00   270792     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.10     0.00   270792     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.10     0.00   270792     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.10     0.00   270791     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.10     0.00   270791     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.10     0.00   270791     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.10     0.00   270790     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.10     0.00   237634     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.10     0.00   237617     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.10     0.00   237617     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.10     0.00   237617     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.10     0.00   237617     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.10     0.00   237616     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.10     0.00   237616     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.10     0.00   237616     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.10     0.00   201863     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.10     0.00   201863     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.10     0.00   201861     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      0.10     0.00   201861     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&&)
  0.00      0.10     0.00   201861     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      0.10     0.00   201861     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      0.10     0.00   201861     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      0.10     0.00   201861     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      0.10     0.00   201861     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00      0.10     0.00   200000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.10     0.00   200000     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.10     0.00   200000     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  0.00      0.10     0.00   200000     0.00     0.00  KosarajuVector()::{lambda(int)#1}& std::forward<KosarajuVector()::{lambda(int)#1}&>(std::remove_reference<KosarajuVector()::{lambda(int)#1}&>::type&)
  0.00      0.10     0.00   200000     0.00     0.00  KosarajuVector()::{lambda(int, int)#2}& std::forward<KosarajuVector()::{lambda(int, int)#2}&>(std::remove_reference<KosarajuVector()::{lambda(int, int)#2}&>::type&)
  0.00      0.10     0.00   150000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.10     0.00   141616     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&)
  0.00      0.10     0.00   131071     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.10     0.00   131071     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::destroy<std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*)
  0.00      0.10     0.00   100000     0.00     0.00  std::function<void (int)>::operator()(int) const
  0.00      0.10     0.00   100000     0.00     0.00  std::function<void (int, int)>::operator()(int, int) const
